1381,1,0,1,0,1,1,1,1,
1382,1,1,1,0,1,0,0,1,
1383,1,0,0,0,1,1,0,1,
1384,1,1,1,1,1,0,1,1,
1385,1,1,0,1,0,1,1,1,
1386,1,0,1,1,0,1,1,1,
1387,1,1,1,1,1,0,1,1,
1388,1,1,1,1,1,1,1,0,
1389,1,1,1,1,0,1,0,1,
1390,0,0,1,1,1,0,1,0,
1391,1,1,0,1,1,1,1,1,
1392,1,1,0,1,1,1,1,1,
1393,1,0,0,0,1,0,0,0,
1394,1,0,1,1,0,1,1,1,
1395,1,1,1,1,1,0,0,1,
1396,0,0,0,0,0,0,1,1,
1397,0,1,1,1,1,1,1,1,
1398,1,1,1,0,0,0,1,1,
1399,1,0,1,1,1,1,0,1,
1400,1,1,0,1,1,1,1,1,
1401,1,1,0,1,1,1,1,0,
1402,1,1,0,1,0,1,0,1,
1403,1,1,0,0,1,1,1,1,
1404,1,1,1,1,0,1,0,1,
1405,1,0,0,1,1,0,1,1,
1406,1,1,1,1,0,1,1,0,
1407,1,1,1,1,1,1,1,1,
1408,1,0,1,0,1,1,1,1,
1409,1,1,0,0,1,1,0,1,
1410,0,1,1,1,1,1,0,1,
1411,1,1,1,1,0,0,1,0,
1412,1,1,1,1,1,1,1,1,
1413,1,0,1,1,0,1,1,1,
1414,1,0,0,0,0,1,0,1,
1415,1,0,1,0,1,0,0,1,
1416,1,1,1,0,1,0,1,1,
1417,1,1,0,1,1,0,0,1,
1418,1,1,1,1,1,1,0,1,
1419,0,1,0,1,1,1,0,1,
1420,1,1,1,0,1,1,1,1,
1421,0,0,1,0,0,1,1,1,
1422,0,1,1,0,1,0,1,1,
1423,1,0,1,1,1,1,1,1,
1424,1,0,1,0,0,0,1,0,
1425,1,1,1,1,1,1,0,1,
1426,0,0,0,1,1,0,1,0,
1427,1,0,1,0,0,0,1,1,
1428,0,0,1,1,0,1,0,0,
1429,1,0,1,1,1,0,0,1,
1430,1,0,1,0,1,1,1,1,
1431,1,1,1,1,1,1,1,0,
1432,1,1,1,1,1,1,1,1,
1433,1,1,0,0,1,0,0,1,
1434,1,1,1,1,0,1,0,1,
1435,0,1,1,1,1,0,1,1,
1436,1,0,1,1,0,1,0,1,
1437,1,0,1,1,1,1,1,0,
1438,0,1,0,1,1,1,1,1,
1439,1,0,0,0,1,1,1,1,
1440,1,0,1,1,1,1,1,1,
1441,0,0,0,1,1,1,0,1,
1442,1,1,1,1,0,1,1,1,
1443,0,0,0,1,1,0,1,0,
1444,1,0,1,0,0,1,0,0,
1445,0,1,1,1,1,1,0,1,
1446,1,0,1,0,1,0,1,0,
1447,0,1,1,1,1,1,0,1,
1448,1,1,1,1,0,1,0,1,
1449,0,1,1,0,1,0,0,1,
1450,1,1,1,0,1,0,1,0,
1451,0,1,1,1,1,0,1,1,
1452,0,1,1,1,1,0,1,1,
1453,1,1,1,0,1,0,0,1,
1454,0,1,1,1,1,1,1,1,
1455,0,1,0,0,0,0,1,1,
1456,0,1,0,0,0,1,0,1,
1457,1,1,0,1,1,1,1,1,
1458,1,1,1,0,1,1,1,1,
1459,0,1,1,1,0,1,1,1,
1460,0,1,1,1,1,1,1,0,
1461,0,1,0,1,0,1,1,1,
1462,1,0,1,1,1,0,1,1,
1463,1,1,1,0,0,1,1,1,
1464,0,0,1,1,0,1,1,0,
1465,0,1,1,1,0,1,1,1,
1466,0,0,1,1,1,1,1,1,
1467,0,0,1,1,1,1,1,0,
1468,1,0,1,1,1,1,1,1,
1469,1,0,0,1,0,0,1,1,
1470,1,1,1,1,1,0,0,1,
1471,1,0,0,0,1,1,1,1,
1472,1,0,1,1,1,1,1,1,
1473,1,1,1,0,0,1,0,1,
1474,1,1,0,1,1,1,1,1,
1475,1,1,1,1,1,1,0,1,
1476,1,0,1,1,1,1,1,0,
1477,1,1,1,0,1,1,1,1,
1478,1,1,1,0,0,0,0,1,
1479,1,0,1,1,0,1,1,0,
1480,1,0,1,1,0,1,1,1,
1481,1,1,1,0,1,1,1,1,
1482,1,0,1,0,1,1,1,1,
1483,1,1,0,1,1,0,1,1,
1484,1,1,1,0,1,1,1,1,
1485,1,0,1,1,1,0,1,0,
1486,1,1,1,1,1,0,0,1,
1487,0,1,0,1,1,1,1,0,
1488,1,1,0,0,0,1,1,1,
1489,1,1,1,1,1,1,1,1,
1490,0,1,0,1,1,1,1,1,
1491,1,0,0,0,1,0,0,1,
1492,1,1,1,1,1,1,1,1,
1493,1,0,1,0,0,1,1,1,
1494,1,1,1,0,1,1,1,1,
1495,0,1,1,0,1,1,0,1,
1496,1,1,1,1,1,0,0,1,
1497,0,0,1,1,1,1,1,0,
1498,0,1,1,1,1,1,0,1,
1499,0,1,1,1,0,1,1,1,
1500,1,1,0,1,0,1,1,0,
1501,1,0,1,1,1,1,0,1,
1502,0,1,1,1,0,1,1,0,
1503,0,1,0,0,1,0,1,1,
1504,0,1,0,1,1,0,1,1,
1505,0,1,1,1,0,1,0,0,
1506,0,1,1,1,1,1,1,1,
1507,0,0,0,1,1,1,0,1,
1508,0,1,0,1,0,0,1,0,
1509,0,1,1,1,1,1,1,1,
1510,1,1,1,1,1,1,1,1,
1511,1,0,1,1,1,1,1,1,
1512,1,0,1,1,0,1,0,1,
1513,1,1,1,1,1,1,1,1,
1514,1,1,0,1,1,1,1,1,
1515,1,1,1,1,0,0,1,1,
1516,1,1,1,0,1,0,1,0,
1517,0,1,0,1,1,1,1,1,
1518,0,1,1,0,0,0,1,0,
1519,1,0,1,1,1,1,1,1,
1520,1,1,1,1,0,0,1,1,
1521,0,1,0,1,1,1,0,1,
1522,1,1,0,1,0,1,0,0,
1523,1,1,1,1,0,1,0,1,
1524,1,1,1,0,1,1,1,1,
1525,1,0,1,1,1,0,1,1,
1526,0,0,1,0,1,1,0,1,
1527,1,0,1,0,1,0,0,0,
1528,1,0,0,1,0,1,1,1,
1529,0,1,1,1,1,0,1,0,
1530,1,0,0,0,1,0,1,1,
1531,1,1,1,1,1,1,1,1,
1532,1,0,1,1,0,0,1,1,
1533,1,1,1,1,1,0,1,1,
1534,1,0,1,1,1,1,1,1,
1535,0,0,1,0,1,1,1,1,
1536,1,1,0,1,1,1,1,1,
1537,0,0,1,1,1,1,1,1,
1538,1,0,0,1,1,0,1,1,
1539,0,1,1,1,1,1,0,1,
1540,0,1,0,1,1,1,1,1,
1541,0,1,1,1,1,0,1,0,
1542,1,1,1,1,1,1,1,0,
1543,0,1,1,1,0,1,1,0,
1544,0,1,1,1,1,1,1,1,
1545,1,1,1,1,1,0,1,1,
1546,1,1,1,1,0,1,1,1,
1547,1,1,1,1,0,1,1,0,
1548,0,0,1,0,1,0,0,1,
1549,0,0,1,1,0,1,0,1,
1550,1,0,1,0,0,1,0,0,
1551,0,1,0,1,1,1,1,1,
1552,0,1,1,1,1,0,0,1,
1553,0,1,0,1,0,1,0,1,
1554,0,1,1,1,1,0,1,1,
1555,0,0,1,1,0,1,1,0,
1556,1,1,1,0,1,0,1,0,
1557,0,0,0,1,1,0,1,1,
1558,0,1,0,1,1,1,1,0,
1559,1,1,1,0,1,1,1,0,
1560,1,0,1,1,1,0,1,1,
1561,0,1,0,1,0,1,1,0,
1562,1,0,0,0,1,1,0,0,
1563,0,0,1,1,0,1,1,0,
1564,1,1,1,1,0,1,1,0,
1565,1,1,1,0,1,1,1,1,
1566,1,1,1,0,0,1,0,1,
1567,1,1,1,0,1,0,1,0,
1568,1,1,1,1,0,0,1,0,
1569,1,0,0,0,1,1,0,1,
1570,1,0,0,1,0,1,1,1,
1571,0,0,1,1,1,0,1,0,
1572,1,1,1,0,1,0,1,1,
1573,0,0,1,1,0,0,1,1,
1574,0,1,1,0,0,1,1,0,
1575,1,1,1,1,1,0,1,1,
1576,1,1,1,1,1,1,0,1,
1577,0,1,1,1,0,1,1,1,
1578,0,1,1,0,0,1,0,1,
1579,0,1,1,1,1,0,0,1,
1580,0,1,0,1,0,0,1,1,
1581,1,1,0,1,1,1,1,0,
1582,1,1,0,1,1,1,1,1,
1583,1,1,1,1,1,1,1,1,
1584,1,0,1,1,1,1,1,1,
1585,1,0,0,1,1,1,1,1,
1586,1,1,1,1,1,0,1,1,
1587,1,1,1,1,1,0,1,1,
1588,1,1,1,1,1,0,0,1,
1589,1,1,0,1,0,0,1,0,
1590,0,1,0,0,1,0,1,1,
1591,1,1,1,1,1,1,1,1,
1592,0,1,0,1,1,0,1,1,
1593,0,0,1,0,1,0,1,1,
1594,1,1,1,1,1,1,1,1,
1595,1,0,0,1,0,1,0,1,
1596,0,1,1,1,1,1,1,1,
1597,1,1,1,1,1,0,1,1,
1598,1,0,1,1,1,1,0,0,
1599,0,0,0,1,1,1,1,1,
1600,0,1,1,0,1,1,0,1,
1601,0,0,1,0,1,1,1,1,
1602,1,1,0,0,0,1,1,1,
1603,1,0,0,1,0,1,1,0,
1604,1,0,0,0,1,1,1,1,
1605,0,1,1,1,0,1,0,0,
1606,1,1,0,0,0,1,0,1,
1607,0,1,1,1,1,1,0,1,
1608,1,0,1,1,0,1,1,1,
1609,1,0,1,1,1,0,1,0,
1610,1,1,0,1,1,0,0,0,
1611,0,1,0,1,0,0,1,1,
1612,1,0,1,1,1,0,1,1,
1613,1,1,1,1,1,0,1,0,
1614,1,1,0,1,1,1,1,0,
1615,1,0,1,1,1,0,0,1,
1616,1,1,1,0,1,1,1,0,
1617,1,1,0,1,1,1,1,0,
1618,1,1,0,1,1,1,1,0,
1619,1,1,1,1,0,0,0,0,
1620,1,1,1,0,0,1,0,1,
1621,1,1,0,1,1,1,1,0,
1622,1,1,0,0,0,0,1,1,
1623,1,0,1,1,1,0,1,1,
1624,0,1,0,1,1,1,1,1,
1625,1,0,1,1,1,1,1,0,
1626,1,1,1,1,1,1,1,1,
1627,0,0,1,1,1,1,0,1,
1628,1,1,1,1,1,1,1,1,
1629,1,1,1,0,0,1,1,1,
1630,1,1,1,1,0,1,1,1,
1631,0,1,1,1,0,1,0,1,
1632,1,1,1,1,1,0,0,1,
1633,0,1,1,0,0,1,0,0,
1634,1,1,0,1,1,0,1,1,
1635,1,1,1,1,1,1,1,1,
1636,0,1,1,0,1,1,1,1,
1637,1,1,0,1,1,1,1,0,
1638,1,1,1,1,0,0,0,0,
1639,1,1,0,1,0,1,0,1,
1640,1,0,1,0,1,0,1,1,
1641,1,1,1,0,1,1,0,1,
1642,0,1,1,1,1,1,0,1,
1643,0,1,0,0,1,0,1,1,
1644,1,1,1,0,0,0,1,0,
1645,1,1,0,1,1,1,1,1,
1646,1,1,1,1,0,1,0,1,
1647,1,0,0,0,1,1,0,1,
1648,1,1,1,0,1,0,1,1,
1649,0,1,0,1,1,1,1,1,
1650,1,0,1,1,0,1,1,0,
1651,0,0,1,1,1,0,1,0,
1652,1,1,1,1,1,1,1,1,
1653,1,0,1,0,1,1,0,1,
1654,1,1,1,0,0,1,0,1,
1655,0,0,0,0,0,1,1,1,
1656,0,1,0,1,0,0,0,1,
1657,1,0,1,1,1,0,1,1,
1658,0,0,0,1,1,0,1,0,
1659,0,1,1,0,1,1,1,1,
1660,1,0,0,1,0,0,1,0,
1661,1,1,0,1,0,1,1,1,
1662,1,1,1,1,1,0,1,1,
1663,0,1,0,1,1,1,1,1,
1664,0,0,1,1,0,1,1,0,
1665,0,1,0,0,1,1,1,1,
1666,0,1,0,0,1,1,0,0,
1667,1,1,1,1,0,1,0,1,
1668,1,1,0,0,0,0,1,1,
1669,1,1,1,1,1,1,1,1,
1670,0,1,1,1,0,0,0,1,
1671,1,0,1,1,1,0,1,0,
1672,1,0,1,0,1,1,1,1,
1673,0,1,0,1,0,0,1,1,
1674,1,1,0,1,1,1,0,1,
1675,1,1,1,0,0,1,1,0,
1676,1,1,0,1,1,1,0,0,
1677,1,1,1,1,0,1,1,0,
1678,0,0,1,1,0,1,1,1,
1679,1,1,1,0,0,1,1,1,
1680,1,1,0,0,1,0,0,0,
1681,1,0,1,1,1,0,0,1,
1682,1,1,1,1,1,1,1,1,
1683,0,0,1,1,1,1,1,1,
1684,1,0,1,0,0,1,1,1,
1685,1,1,1,0,0,1,1,0,
1686,1,1,1,1,1,0,1,1,
1687,1,1,0,0,1,1,0,1,
1688,1,0,1,1,1,0,1,1,
